profile,parameter,cgiar.shp.min,cgiar.shp.max,reported
oc.goat.humidM,mortality_y,0.17,0.25,reported
oc.goat.humidM,mortality_a,0.138,0.142,reported
oc.goat.humidM,mortality_end,1,1,NA
oc.goat.humidM,birth_rate,2.0205,2.03072,reported
oc.goat.humidM,ppr_mortality_y,0,0,NA
oc.goat.humidM,ppr_mortality_a,0,0,NA
oc.goat.humidM,adu_f_max_yrs,7,7,default
oc.goat.humidM,adu_m_max_yrs,5,5,default
oc.goat.humidM,min_age_offtake,9,14,missing
oc.goat.humidM,min_age_repro,13.5,14.8,reported
oc.goat.humidM,NET_offtake_m2,0.24,0.28,missing
oc.shp.aridP,NET_offtake_y,0,0,missing
oc.shp.aridP,NET_offtake_m,0.19,0.25,missing
oc.shp.aridP,NET_offtake_f,0.19,0.25,missing
oc.shp.aridP,mortality_y,0.288,0.292,reported
oc.shp.aridP,mortality_a,0.118,0.122,reported
oc.shp.aridP,mortality_end,1,1,NA
oc.shp.aridP,birth_rate,0.988,1.0486,reported
oc.shp.aridP,ppr_mortality_y,0,0,NA
oc.shp.aridP,ppr_mortality_a,0,0,NA
oc.shp.aridP,adu_f_max_yrs,7,7,default
oc.shp.aridP,adu_m_max_yrs,5,5,default
oc.shp.aridP,min_age_offtake,10,10,missing
oc.shp.aridP,min_age_repro,18.4,18.6,reported
oc.shp.aridP,NET_offtake_m2,0.19,0.25,missing
oc.shp.semiaridP,NET_offtake_y,0,0,missing
oc.shp.semiaridP,NET_offtake_m,0.16,0.27,missing
oc.shp.semiaridP,NET_offtake_f,0.16,0.27,missing
oc.shp.semiaridP,mortality_y,0.3,0.33,reported
oc.shp.semiaridP,mortality_a,0.14,0.16,reported
oc.shp.semiaridP,mortality_end,1,1,NA
oc.shp.semiaridP,birth_rate,0.9776,0.988,reported
oc.shp.semiaridP,ppr_mortality_y,0,0,NA
oc.shp.semiaridP,ppr_mortality_a,0,0,NA
oc.shp.semiaridP,adu_f_max_yrs,7,7,default
oc.shp.semiaridP,adu_m_max_yrs,5,5,default
oc.shp.semiaridP,min_age_offtake,10,10,missing
oc.shp.semiaridP,min_age_repro,17.9,18.8,reported
oc.shp.semiaridP,NET_offtake_m2,0.16,0.27,missing
oc.shp.semiaridM,NET_offtake_y,0,0,missing
oc.shp.semiaridM,NET_offtake_m,0.01,0.27,missing
oc.shp.semiaridM,NET_offtake_f,0.01,0.27,missing
oc.shp.semiaridM,mortality_y,0.25,0.27,reported
oc.shp.semiaridM,mortality_a,0.07,0.08,reported
oc.shp.semiaridM,mortality_end,1,1,NA
oc.shp.semiaridM,birth_rate,1.296,1.3209,reported
oc.shp.semiaridM,ppr_mortality_y,0,0,NA
oc.shp.semiaridM,ppr_mortality_a,0,0,NA
oc.shp.semiaridM,adu_f_max_yrs,7,7,default
oc.shp.semiaridM,adu_m_max_yrs,5,5,default
oc.shp.semiaridM,min_age_offtake,10,10,missing
oc.shp.semiaridM,min_age_repro,15,16.9,reported
oc.shp.semiaridM,NET_offtake_m2,0.01,0.27,missing
